docente,tipo,doi,titulo,periodico,motivo
Ozeas de Lima Lins Filho,artigo,10.1038/s41371-025-01080-y,"Effects of acute exercise performed at different times of day on respiratory, blood pressure, and cardiac autonomic modulation outcomes in patients with obstructive sleep apnea: a randomized crossover trial. JOURNAL OF HUMAN HYPERTENSION, v. 1, p. 1-9, 2025",JOURNAL OF HUMAN HYPERTENSION,ja_existia_no_banco
Leonardo Gomes de Oliveira Luz,artigo,10.1002/ajhb.70024,"Biocultural correlates of gross motor coordination in prepubescent children: A cross-sectional study. AMERICAN JOURNAL OF HUMAN BIOLOGY, v. 36, p. 1, 2024",AMERICAN JOURNAL OF HUMAN BIOLOGY,ja_existia_no_banco
Ozeas de Lima Lins Filho,artigo,10.1016/j.sleep.2026.108879,"Effects of resistance training on obstructive sleep apnea severity: a randomized controlled trial. SLEEP MEDICINE, v. 142, p. 1-7, 2026",SLEEP MEDICINE,ja_existia_no_banco
Ozeas de Lima Lins Filho,artigo,10.1016/j.sleep.2026.108879,"Effect of high-intensity interval training on obstructive sleep apnea severity: a randomized controlled trial. SLEEP MEDICINE, v. 112, p. 316-321, 2023",SLEEP MEDICINE,duplicata_na_planilha_nova
Ozeas de Lima Lins Filho,artigo,10.1016/j.sleep.2026.108879,"Effects of high-intensity interval training on subjective sleep quality and daytime sleepiness in patients with obstructive sleep apnea: A secondary analysis from randomized controlled trial.. SLEEP MEDICINE, v. 121, p. 184-188, 2024",SLEEP MEDICINE,duplicata_na_planilha_nova
Ozeas de Lima Lins Filho,artigo,10.1016/j.sleep.2026.108879,"Effect of exercise training on body composition in patients with obstructive sleep apnea: A systematic review and meta-analysis. SLEEP MEDICINE, v. 87, p. 105-113, 2021",SLEEP MEDICINE,duplicata_na_planilha_nova
Saulo Fernandes Melo de Oliveira,artigo,10.3389/fspor.2025.1724991,Does mental fatigue influence the accuracy of paralympic boccia players?,Frontiers In Sports And Active Living,ja_existia_no_banco
Daniel da Rocha Queiroz,artigo,10.12820/rbafs.30e0411,Can Motor Competence be a Better Predictor than Physical Activity on Adiposity Indicators in Children? A Longitudinal Study,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,ja_existia_no_banco
Vilde Gomes de Menezes,artigo,10.56083/RCV5N8-088,"FATORES CONDICIONANTES DA POLÍTICA EDUCACIONAL NO CONTEXTO DO ESTADO BRASILEIRO. CONTEMPORÂNEA - REVISTA DE ÉTICA E FILOSOFIA POLÍTICA, v. 5, p. e8906, 2025",CONTEMPORÂNEA - REVISTA DE ÉTICA E FILOSOFIA POLÍTICA,ja_existia_no_banco
Tony Meireles dos Santos,capitulo,,Anastácio WL ; Bruno V,,duplicata_na_planilha_nova
Tony Meireles dos Santos,capitulo,,Anastácio WL ; Bruno V,,duplicata_na_planilha_nova
Tony Meireles dos Santos,capitulo,,"Anastácio WL ; MEIRELES SANTOS, TONY",,duplicata_na_planilha_nova
Tony Meireles dos Santos,capitulo,,"Anastácio WL ; MEIRELES SANTOS, TONY",,duplicata_na_planilha_nova
Tony Meireles dos Santos,artigo,10.4025/jphyseduc.v36i1.3607,COMPARISON OF AFFECTIVE RESPONSES DURING SCHOOL PHYSICAL EDUCATION CLASSES WITH DIFFERENT RECOVERY TIMES,JOURNAL OF PHYSICAL EDUCATION (ONLINE),ja_existia_no_banco
Rafael dos Santos Henrique,artigo,10.1152/japplphysiol.00700.2025,"Anaerobic speed or power reserve as a key determinant of repeatability in high-intensity efforts. JOURNAL OF APPLIED PHYSIOLOGY, v. 139, p. 1722-1723, 2025",JOURNAL OF APPLIED PHYSIOLOGY,ja_existia_no_banco
Paulo Roberto Cavalcanti Carvalho,artigo,10.69849/revistaft/dt10202504282217,"Associação dos comportamentos de riscos à saúde e o reganho de peso corporal pós-cirurgia Bariátrica em tempos de pandemia: Estudo de coorte. REVISTA FISIO&TERAPIA, v. 29, p. 1, 2025",REVISTA FISIO&TERAPIA,duplicata_na_planilha_nova
Eduardo Zapaterra Campos,artigo,10.1038/s41598-025-98762-x,"Time-course of muscle fatigue development during intense exercise in hypoxia and normoxia. Scientific Reports, v. 15, p. 14065, 2025",Scientific Reports,ja_existia_no_banco
Ozeas de Lima Lins Filho,artigo,10.1007/s11325-024-03181-3,"Minimal changes in sleep parameters during overnight ambulatory blood pressure monitoring do not affect outcomes. Sleep and Breathing, v. 29, p. 00-6, 2025",Sleep and Breathing,ja_existia_no_banco
Paulo Roberto Cavalcanti Carvalho,artigo,10.69849/revistaft/dt10202504282217,"The influence of neoadjuvant chemotherapy on weicht gain in women survivors from breast cancer. REVISTA FISIO&TERAPIA, v. 28, p. 01 e 20, 2024",REVISTA FISIO&TERAPIA,duplicata_na_planilha_nova
Pedro Pinheiro Paes Neto,capitulo,,"CAMAROTTI JUNIOR, F",Ejercicio salud y sociedad: una mirada mutidisciplinar,duplicata_na_planilha_nova
Daniel da Rocha Queiroz,artigo,10.47197/retos.v72.113173,"Association of physical activity, screen time, and sleep recommendations with excess weight in adolescents",RETOS,ja_existia_no_banco
Vilde Gomes de Menezes,artigo,10.55905/oelv23n4-058,"Produção científica no campo das políticas públicas de esporte e lazer no Brasil entre 2003 e 2023. OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA, v. 23, p. e8932, 2025",OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,ja_existia_no_banco
Guilherme Assunção Ferreira,artigo,10.1080/02701367.2025.2515968,"Neural and Muscular Determinants of Performance Fatigability Are Independent of Work and Recovery Durations During High-Intensity Interval Exercise in Males. RESEARCH QUARTERLY FOR EXERCISE AND SPORT, v. 96, p. 338-348, 2025",RESEARCH QUARTERLY FOR EXERCISE AND SPORT,duplicata_na_planilha_nova
