excel_row,docente,periodico,doi_identificado,match_source,expected_indexacao,expected_jif_jcr_2025,expected_quartil_jcr_2025,diffs
2,Ozeas de Lima Lins Filho,JOURNAL OF HUMAN HYPERTENSION,10.1038/s41371-025-01080-y,doi,Web of Science (JCR); Scopus (SJR),3.4,Q2,JCR_WoS: atual=Verificação manual necessária esperado=Sim | PubMed_APCN: atual=Sim esperado=Não
3,Daniela Karina da Silva Ferreira,SLEEP MEDICINE,10.1016/j.sleep.2026.108879,doi,Web of Science (JCR); Scopus (SJR),3.4,Q2,JCR_WoS: atual=Verificação manual necessária esperado=Sim
4,Paulo Felipe Ribeiro Bandeira,JOURNAL OF SPORTS SCIENCES,10.1080/02640414.2025.2540202,doi,Web of Science (JCR); Scopus (SJR),2.5,Q2,JCR_WoS: atual=Verificação manual necessária esperado=Sim | PubMed_APCN: atual=Sim esperado=Não
8,Leonardo Gomes de Oliveira Luz,AMERICAN JOURNAL OF HUMAN BIOLOGY,10.1002/ajhb.70024,doi,Web of Science (JCR); Scopus (SJR),1.7,Q1,JCR_WoS: atual=Verificação manual necessária esperado=Sim
9,Ozeas de Lima Lins Filho,SLEEP MEDICINE,10.1016/j.sleep.2026.108879,doi,Web of Science (JCR); Scopus (SJR),3.4,Q2,JCR_WoS: atual=Verificação manual necessária esperado=Sim
12,Ozeas de Lima Lins Filho,SLEEP MEDICINE,10.1016/j.sleep.2026.108879,doi,Web of Science (JCR); Scopus (SJR),3.4,Q2,JCR_WoS: atual=Verificação manual necessária esperado=Sim
14,Ozeas de Lima Lins Filho,SLEEP MEDICINE,10.1016/j.sleep.2026.108879,doi,Web of Science (JCR); Scopus (SJR),3.4,Q2,JCR_WoS: atual=Verificação manual necessária esperado=Sim
15,Ozeas de Lima Lins Filho,SLEEP MEDICINE,10.1016/j.sleep.2026.108879,doi,Web of Science (JCR); Scopus (SJR),3.4,Q2,JCR_WoS: atual=Verificação manual necessária esperado=Sim
23,Saulo Fernandes Melo de Oliveira,Frontiers In Sports And Active Living,10.3389/fspor.2025.1724991,doi,Web of Science (JCR); Scopus (SJR),2.6,Q2,JCR_WoS: atual=Não esperado=Sim
31,Vilde Gomes de Menezes,CONTEMPORÂNEA - REVISTA DE ÉTICA E FILOSOFIA POLÍTICA,10.56083/RCV5N8-088,doi,,,,Google_Scholar: atual=Verificação manual necessária esperado=Não
39,Guilherme Assunção Ferreira,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,10.1080/02701367.2025.2515968,doi,Web of Science (JCR); Scopus (SJR),1.6,Q3,JCR_WoS: atual=Verificação manual necessária esperado=Sim | PubMed_APCN: atual=Sim esperado=Não
53,Paulo Roberto Cavalcanti Carvalho,REVISTA FISIO&TERAPIA,10.69849/revistaft/dt10202504282217,doi,,,,Google_Scholar: atual=Verificação manual necessária esperado=Não
61,Saulo Fernandes Melo de Oliveira,RETOS,10.47197/retos.v72.113173,doi,Web of Science (JCR); Scopus (SJR),1.6,Q2,JCR_WoS: atual=Não esperado=Sim
62,André dos Santos Costa,RETOS,10.47197/retos.v72.113173,doi,Web of Science (JCR); Scopus (SJR),1.6,Q2,JCR_WoS: atual=Não esperado=Sim
80,Tony Meireles dos Santos,International Journal of Environmental Research and Public Health,10.3390/ijerph23020221,doi,Web of Science (JCR); Scopus (SJR),,,JCR_WoS: atual=Verificação manual necessária esperado=Sim | PubMed_APCN: atual=Sim esperado=Não
83,Rafael dos Santos Henrique,JOURNAL OF APPLIED PHYSIOLOGY,10.1152/japplphysiol.00700.2025,doi,Web of Science (JCR); Scopus (SJR),3.3,Q1,JCR_WoS: atual=Verificação manual necessária esperado=Sim | PubMed_APCN: atual=Sim esperado=Não
86,Guilherme Assunção Ferreira,JOURNAL OF APPLIED PHYSIOLOGY,10.1152/japplphysiol.00700.2025,doi,Web of Science (JCR); Scopus (SJR),3.3,Q1,JCR_WoS: atual=Verificação manual necessária esperado=Sim | PubMed_APCN: atual=Sim esperado=Não
87,Paulo Roberto Cavalcanti Carvalho,REVISTA FISIO&TERAPIA,10.69849/revistaft/dt10202504282217,doi,,,,Google_Scholar: atual=Verificação manual necessária esperado=Não
89,Eduardo Zapaterra Campos,Scientific Reports,10.1038/s41598-025-98762-x,doi,Web of Science (JCR); Scopus (SJR),3.9,Q1,JCR_WoS: atual=Verificação manual necessária esperado=Sim | PubMed_APCN: atual=Sim esperado=Não
92,Ozeas de Lima Lins Filho,Sleep and Breathing,10.1007/s11325-024-03181-3,doi,Web of Science (JCR); Scopus (SJR),2.0,Q3,JCR_WoS: atual=Verificação manual necessária esperado=Sim
102,Rafael dos Santos Henrique,RETOS,10.47197/retos.v72.113173,doi,Web of Science (JCR); Scopus (SJR),1.6,Q2,JCR_WoS: atual=Não esperado=Sim
103,Paulo Roberto Cavalcanti Carvalho,REVISTA FISIO&TERAPIA,10.69849/revistaft/dt10202504282217,doi,,,,Google_Scholar: atual=Verificação manual necessária esperado=Não
106,Lucas Eduardo Rodrigues dos Santos,International Journal of Environmental Research and Public Health,10.3390/ijerph23020221,doi,Web of Science (JCR); Scopus (SJR),,,JCR_WoS: atual=Verificação manual necessária esperado=Sim | PubMed_APCN: atual=Sim esperado=Não
114,Eduardo Zapaterra Campos,Frontiers In Sports And Active Living,10.3389/fspor.2025.1724991,doi,Web of Science (JCR); Scopus (SJR),2.6,Q2,JCR_WoS: atual=Não esperado=Sim
116,Daniel da Rocha Queiroz,RETOS,10.47197/retos.v72.113173,doi,Web of Science (JCR); Scopus (SJR),1.6,Q2,JCR_WoS: atual=Não esperado=Sim
120,Saulo Fernandes Melo de Oliveira,International Journal of Sports Science & Coaching,10.1177/17479541251394001,doi,Web of Science (JCR); Scopus (SJR),2.1,Q2,JCR_WoS: atual=Verificação manual necessária esperado=Sim
126,Vilde Gomes de Menezes,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,10.55905/oelv23n4-058,doi,,,,Google_Scholar: atual=Verificação manual necessária esperado=Não
128,Guilherme Assunção Ferreira,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,10.1080/02701367.2025.2515968,doi,Web of Science (JCR); Scopus (SJR),1.6,Q3,JCR_WoS: atual=Verificação manual necessária esperado=Sim | PubMed_APCN: atual=Sim esperado=Não
129,Rafael dos Santos Henrique,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,10.1080/02701367.2025.2515968,doi,Web of Science (JCR); Scopus (SJR),1.6,Q3,JCR_WoS: atual=Verificação manual necessária esperado=Sim | PubMed_APCN: atual=Sim esperado=Não
135,Ozeas de Lima Lins Filho,Sleep and Breathing,10.1007/s11325-024-03181-3,doi,Web of Science (JCR); Scopus (SJR),2.0,Q3,JCR_WoS: atual=Verificação manual necessária esperado=Sim
144,Vilde Gomes de Menezes,LUMEN ET VIRTUS,10.56238/levv16n49-040,doi,,,,Google_Scholar: atual=Verificação manual necessária esperado=Não
145,Vilde Gomes de Menezes,LUMEN ET VIRTUS,10.56238/levv16n49-040,doi,,,,Google_Scholar: atual=Verificação manual necessária esperado=Não
146,Vilde Gomes de Menezes,ARACÊ - DIREITOS HUMANOS EM REVISTA,10.56238/arev7n6-087,doi,,,,Google_Scholar: atual=Verificação manual necessária esperado=Não
149,Paulo Felipe Ribeiro Bandeira,AMERICAN JOURNAL OF HUMAN BIOLOGY,10.1002/ajhb.70024,doi,Web of Science (JCR); Scopus (SJR),1.7,Q1,JCR_WoS: atual=Verificação manual necessária esperado=Sim
159,André dos Santos Costa,RETOS,10.47197/retos.v72.113173,doi,Web of Science (JCR); Scopus (SJR),1.6,Q2,JCR_WoS: atual=Não esperado=Sim
161,Eduardo Zapaterra Campos,RETOS,10.47197/retos.v72.113173,doi,Web of Science (JCR); Scopus (SJR),1.6,Q2,JCR_WoS: atual=Não esperado=Sim
167,Eduardo Zapaterra Campos,JOURNAL OF SPORTS SCIENCES,10.1080/02640414.2025.2540202,doi,Web of Science (JCR); Scopus (SJR),2.5,Q2,JCR_WoS: atual=Verificação manual necessária esperado=Sim | PubMed_APCN: atual=Sim esperado=Não
168,Leonardo Gomes de Oliveira Luz,JOURNAL OF SPORTS SCIENCES,10.1080/02640414.2025.2540202,doi,Web of Science (JCR); Scopus (SJR),2.5,Q2,JCR_WoS: atual=Verificação manual necessária esperado=Sim | PubMed_APCN: atual=Sim esperado=Não
169,Ozeas de Lima Lins Filho,SLEEP SCIENCE (IMPRESSO),10.1055/s-0045-1806954,doi,Web of Science (JCR); Scopus (SJR),1.8,Q3,JCR_WoS: atual=Não esperado=Sim
171,Paulo Felipe Ribeiro Bandeira,SPORT SCIENCES FOR HEALTH (TESTO STAMPATO),10.1007/s11332-024-01295-5,doi,Web of Science (JCR); Scopus (SJR),1.3,Q3,JCR_WoS: atual=Não esperado=Sim
173,Rafael dos Santos Henrique,"BMC SPORTS SCIENCE, MEDICINE AND REHABILITATION",10.1186/s13102-024-01052-8,doi,Web of Science (JCR); Scopus (SJR),2.8,Q1,JCR_WoS: atual=Verificação manual necessária esperado=Sim
179,Rafael dos Santos Henrique,Vulnerable Children and Youth Studies (Print),10.1080/17450128.2025.2575325,doi,Web of Science (JCR); Scopus (SJR),0.9,Q3,JCR_WoS: atual=Não esperado=Sim
180,Clarice Maria de Lucena Martins,AMERICAN JOURNAL OF HUMAN BIOLOGY,10.1002/ajhb.70024,doi,Web of Science (JCR); Scopus (SJR),1.7,Q1,JCR_WoS: atual=Verificação manual necessária esperado=Sim
181,Paulo Felipe Ribeiro Bandeira,AMERICAN JOURNAL OF HUMAN BIOLOGY,10.1002/ajhb.70024,doi,Web of Science (JCR); Scopus (SJR),1.7,Q1,JCR_WoS: atual=Verificação manual necessária esperado=Sim
187,Pedro Pinheiro Paes Neto,RETOS,10.47197/retos.v72.113173,doi,Web of Science (JCR); Scopus (SJR),1.6,Q2,JCR_WoS: atual=Não esperado=Sim
188,Pedro Pinheiro Paes Neto,Healthcare,10.3390/healthcare13151789,doi,Web of Science (JCR); Scopus (SJR),2.7,Q2,JCR_WoS: atual=Verificação manual necessária esperado=Sim
194,Paulo Felipe Ribeiro Bandeira,AMERICAN JOURNAL OF HUMAN BIOLOGY,10.1002/ajhb.70024,doi,Web of Science (JCR); Scopus (SJR),1.7,Q1,JCR_WoS: atual=Verificação manual necessária esperado=Sim
195,Pedro Pinheiro Paes Neto,JOURNAL OF BODYWORK AND MOVEMENT THERAPIES,10.1016/j.jbmt.2024.11.012,doi,Web of Science (JCR); Scopus (SJR),1.4,Q3,JCR_WoS: atual=Não esperado=Sim | PubMed_APCN: atual=Sim esperado=Não
197,Paulo Felipe Ribeiro Bandeira,Journal of Sports Sciences,10.1080/02640414.2025.2540202,doi,Web of Science (JCR); Scopus (SJR),2.5,Q2,JCR_WoS: atual=Verificação manual necessária esperado=Sim | PubMed_APCN: atual=Sim esperado=Não
198,Clarice Maria de Lucena Martins,JOURNAL OF SPORTS SCIENCES,10.1080/02640414.2025.2540202,doi,Web of Science (JCR); Scopus (SJR),2.5,Q2,JCR_WoS: atual=Verificação manual necessária esperado=Sim | PubMed_APCN: atual=Sim esperado=Não
200,Rafael dos Santos Henrique,RETOS,10.47197/retos.v72.113173,doi,Web of Science (JCR); Scopus (SJR),1.6,Q2,JCR_WoS: atual=Não esperado=Sim
201,Paulo Felipe Ribeiro Bandeira,RETOS,10.47197/retos.v72.113173,doi,Web of Science (JCR); Scopus (SJR),1.6,Q2,JCR_WoS: atual=Não esperado=Sim
202,Ozeas de Lima Lins Filho,SLEEP MEDICINE,10.1016/j.sleep.2026.108879,doi,Web of Science (JCR); Scopus (SJR),3.4,Q2,JCR_WoS: atual=Verificação manual necessária esperado=Sim
