grupo,excel_row,docente,ano,periodico,doi_identificado,titulo_extraido_local
1,3,Daniela Karina da Silva Ferreira,,SLEEP MEDICINE,10.1016/j.sleep.2026.108879,Effects of resistance training on obstructive sleep apnea severity: a randomized controlled trial
1,9,Ozeas de Lima Lins Filho,,SLEEP MEDICINE,10.1016/j.sleep.2026.108879,Effects of resistance training on obstructive sleep apnea severity: a randomized controlled trial
2,8,Leonardo Gomes de Oliveira Luz,,AMERICAN JOURNAL OF HUMAN BIOLOGY,10.1002/ajhb.70024,Biocultural correlates of gross motor coordination in prepubescent children: A cross-sectional study
2,275,Rafael dos Santos Henrique,,AMERICAN JOURNAL OF HUMAN BIOLOGY,10.1002/ajhb.70024,Biocultural correlates of gross motor coordination in prepubescent children: A cross-sectional study
3,16,Leonardo Gomes de Oliveira Luz,,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,10.12820/rbafs.30e0411,Fatores associados aos comportamentos ativo e sedentario em adolescentes brasileiros: uma analise de redes
3,357,Rafael dos Santos Henrique,,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,10.12820/rbafs.30e0411,Fatores associados aos comportamentos ativo e sedentario em adolescentes brasileiros: uma analise de redes
4,18,Lucas Eduardo Rodrigues dos Santos,,PSYCHOLOGICAL REPORTS,,Acute Effects of Binaural Beats on Interoception in Individuals WITH Symptoms of Depression
4,424,Tony Meireles dos Santos,,PSYCHOLOGICAL REPORTS,,Acute Effects of Binaural Beats on Interoception in Individuals WITH Symptoms of Depression
5,20,Lucas Eduardo Rodrigues dos Santos,,INTERNATIONAL JOURNAL OF EXERCISE SCIENCE,,Entropy of Heart Rate on Self-Selected Interval Exercises in Older Women
5,452,Tony Meireles dos Santos,,INTERNATIONAL JOURNAL OF EXERCISE SCIENCE,,Entropy of Heart Rate on Self-Selected Interval Exercises in Older Women
6,21,Lucas Eduardo Rodrigues dos Santos,,JOURNAL OF AGING AND PHYSICAL ACTIVITY,,Effects of Self-Selected Passive Recovery Time in Interval Exercise on Perceptual and Heart Rate Responses in Older Women: A Promissory Approach
6,453,André dos Santos Costa,,JOURNAL OF AGING AND PHYSICAL ACTIVITY,,Effects of Self-Selected Passive Recovery Time in Interval Exercise on Perceptual and Heart Rate Responses in Older Women: A Promissory Approach
6,454,Tony Meireles dos Santos,,JOURNAL OF AGING AND PHYSICAL ACTIVITY,,Effects of Self-Selected Passive Recovery Time in Interval Exercise on Perceptual and Heart Rate Responses in Older Women: A Promissory Approach
7,22,Lucas Eduardo Rodrigues dos Santos,,APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK,,Reliability of the Heartbeat Tracking Task to Assess Interoception
7,455,Tony Meireles dos Santos,,APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK,,Reliability of the Heartbeat Tracking Task to Assess Interoception
8,23,Saulo Fernandes Melo de Oliveira,,Frontiers In Sports And Active Living,10.3389/fspor.2025.1724991,Does mental fatigue influence the accuracy of paralympic boccia players?
8,475,André dos Santos Costa,,Frontiers In Sports And Active Living,10.3389/fspor.2025.1724991,Does mental fatigue influence the accuracy of paralympic boccia players?
9,32,Rafael dos Santos Henrique,,European Journal of Sport Science,,Plyometric training increases gross motor coordination and associated components of physical fitness in children
9,34,Daniel da Rocha Queiroz,,European Journal of Sport Science,,Plyometric training increases gross motor coordination and associated components of physical fitness in children
10,42,Tony Meireles dos Santos,,,,Exercicios Fisicos e Cancer: Um Guia de Condutas e Prescricao
10,43,Tony Meireles dos Santos,,,,Exercicios Fisicos e Cancer: Um Guia de Condutas e Prescricao
10,44,Tony Meireles dos Santos,,,,Exercicios Fisicos e Cancer: Um Guia de Condutas e Prescricao
10,45,Tony Meireles dos Santos,,,,Exercicios Fisicos e Cancer: Um Guia de Condutas e Prescricao
10,46,Tony Meireles dos Santos,,,,Exercicios Fisicos e Cancer: Um Guia de Condutas e Prescricao
10,48,Tony Meireles dos Santos,,,,Exercicios Fisicos e Cancer: Um Guia de Condutas e Prescricao
10,49,Tony Meireles dos Santos,,,,Exercicios Fisicos e Cancer: Um Guia de Condutas e Prescricao
10,51,Lucas Eduardo Rodrigues dos Santos,,,,Exercicios Fisicos e Cancer: Um Guia de Condutas e Prescricao
11,61,Saulo Fernandes Melo de Oliveira,,RETOS,10.47197/retos.v72.113173,Can home-based training influence mood states and quality of life in Paralympic boccia athletes?
11,62,André dos Santos Costa,,RETOS,10.47197/retos.v72.113173,Can home-based training influence mood states and quality of life in Paralympic boccia athletes?
12,72,Bruno Teixeira Barbosa,,,,Sono em Foco: Educacao sobre Sono para Profissionais de Saude
12,468,Bruno Teixeira Barbosa,,,,Sono em Foco: Educacao sobre Sono para Profissionais de Saude
13,74,Rafael dos Santos Henrique,,JOURNAL OF PHYSICAL EDUCATION (ONLINE),10.4025/jphyseduc.v36i1.3607,Comparison of affective responses during school physical education classes with different recovery times
13,75,Lucas Eduardo Rodrigues dos Santos,,JOURNAL OF PHYSICAL EDUCATION (ONLINE),10.4025/jphyseduc.v36i1.3607,COMPARISON OF AFFECTIVE RESPONSES DURING SCHOOL PHYSICAL EDUCATION CLASSES WITH DIFFERENT RECOVERY TIMES
13,76,Tony Meireles dos Santos,,JOURNAL OF PHYSICAL EDUCATION (ONLINE),10.4025/jphyseduc.v36i1.3607,COMPARISON OF AFFECTIVE RESPONSES DURING SCHOOL PHYSICAL EDUCATION CLASSES WITH DIFFERENT RECOVERY TIMES
14,80,Tony Meireles dos Santos,,International Journal of Environmental Research and Public Health,10.3390/ijerph23020221,Proof-of-Concept and Test-Retest Reliability Study of Psychological and Physiological Variables of the Mental Fatigue Paradigm
14,106,Lucas Eduardo Rodrigues dos Santos,,International Journal of Environmental Research and Public Health,10.3390/ijerph23020221,Proof-of-Concept and Test-Retest Reliability Study of Psychological and Physiological Variables of the Mental Fatigue Paradigm
15,83,Rafael dos Santos Henrique,,JOURNAL OF APPLIED PHYSIOLOGY,10.1152/japplphysiol.00700.2025,Anaerobic speed or power reserve as a key determinant of repeatability in high-intensity efforts
15,86,Guilherme Assunção Ferreira,,JOURNAL OF APPLIED PHYSIOLOGY,10.1152/japplphysiol.00700.2025,Anaerobic speed or power reserve as a key determinant of repeatability in high-intensity efforts
16,95,Clarice Maria de Lucena Martins,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,,Effects of a multicomponent intervention on cardiovascular risk factors in overweight children: a randomized clinical trial in light of complex systems
