excel_row,docente,ano,periodico,doi_identificado,issn_identificado,titulo_extraido_local
5,Bruno Teixeira Barbosa,,Frontiers in Psychology,,,Mental fatigue and sleep restriction effects on perceptual-cognitive performance in trained beach volleyball athletes
6,Paulo Roberto Cavalcanti Carvalho,,OBESITY SURGERY,,,Leisure-Time Physical Activity Patterns and Predictors in Patients Before and After Metabolic and Bariatric Surgery: A Cross-sectional Study
7,Melissa Leandro Celestino,,JOURNAL OF BIOMECHANICS,,,Effects of limited knee flexion movement in intra-limb gait coordination
10,Bruno Teixeira Barbosa,,HUMAN MOVEMENT SCIENCE,,,Virtual reality promotes greater improvements than video-stimulation screen on perceptual-cognitive skills in young soccer athletes
11,Daniel da Rocha Queiroz,,SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,,,The importance of body weight status on motor competence development: From preschool to middle childhood
17,Paulo Felipe Ribeiro Bandeira,,SPORTS MEDICINE,,,A Multilayer Network Model for Motor Competence from the View of the Science of Complexity
18,Lucas Eduardo Rodrigues dos Santos,,PSYCHOLOGICAL REPORTS,,,Acute Effects of Binaural Beats on Interoception in Individuals WITH Symptoms of Depression
19,Guilherme Assunção Ferreira,,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,,,Caffeine intake reverses the impairment of sleep restriction on high-intensity exercise performance
20,Lucas Eduardo Rodrigues dos Santos,,INTERNATIONAL JOURNAL OF EXERCISE SCIENCE,,,Entropy of Heart Rate on Self-Selected Interval Exercises in Older Women
21,Lucas Eduardo Rodrigues dos Santos,,JOURNAL OF AGING AND PHYSICAL ACTIVITY,,,Effects of Self-Selected Passive Recovery Time in Interval Exercise on Perceptual and Heart Rate Responses in Older Women: A Promissory Approach
22,Lucas Eduardo Rodrigues dos Santos,,APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK,,,Reliability of the Heartbeat Tracking Task to Assess Interoception
24,Ozeas de Lima Lins Filho,,Sleep Science (Online),,,Are physical activity recommendations suitable for patients with obstructive sleep apnea? A systematic review with meta-analysis
26,Bruno Teixeira Barbosa,,REVISTA BRASILEIRA DE PRESCRIÇÃO E FISIOLOGIA DO EXERCÍCIO,,,Efeito de um programa de treinamento funcional na melhoria das capacidades funcionais de idosos
27,Saulo Fernandes Melo de Oliveira,,REVISTA BRASILEIRA DE FUTSAL E FUTEBOL,,,A funcao tatica causa interferencia nas caracteristicas morfologicas e metabolicas de futebolistas juniores brasileiros?
28,Tony Meireles dos Santos,,PSYCHOPHYSIOLOGY,,,"Do executive function performance, gaze behavior, and pupil size change during incremental acute physical exercise?"
29,Paulo Felipe Ribeiro Bandeira,,"Revista Interfaces: Saúde, Humanas e Tecnologia",,,INVESTIGANDO VIAS DE INTERVENCOES ENTRE COMPORTAMENTO DE MOVIMENTO 24 HORAS E FATORES SOCIODEMOGRAFICOS: APLICACAO DO ALGORITMO DIJKSTRA
32,Rafael dos Santos Henrique,,European Journal of Sport Science,,1263-1272,Plyometric training increases gross motor coordination and associated components of physical fitness in children
33,Paulo Felipe Ribeiro Bandeira,,International Journal Of Systemic Therapy,,,Patterns in Children's Digital Media Use in Early Childhood and Family Factors: A Network Perspective
34,Daniel da Rocha Queiroz,,European Journal of Sport Science,,1263-1272,Plyometric training increases gross motor coordination and associated components of physical fitness in children
35,Paulo Roberto Cavalcanti Carvalho,,Acta Ortopédica Brasileira,,,Evaluation of tenotomy in the hip subluxation treatment of children with zika syndrome
36,Paulo Felipe Ribeiro Bandeira,,Revista Interamericana de Psicología/Interamerican Journal of Psychology,,,Estudo Longitudinal sobre Saude Mental de Estudantes Universitarios e a Pandemia de COVID-19: Comparacoes e Perspectivas
37,Paulo Felipe Ribeiro Bandeira,,Mental Illness,,,A Cross-Sectional Network Analysis Study Applied to the Depression Anxiety Stress Scale-21 (DASS-21): A New Factor Revealed
38,Paulo Felipe Ribeiro Bandeira,,Applied Neuropsychology-Adult,,,Cross-cultural adaptation of the web-based executive functioning questionnaire for Brazilian sample (Webexec-BR)
41,Paulo Roberto Cavalcanti Carvalho,,Health Residences Journal,,,Promocao de atividades fisicas para idosos em tempos de COVID-19 na atencao primaria a saude: relato de experiencia
52,Tony Meireles dos Santos,,Frontiers In Pain Research,,,Mechanism-based management of taxane-induced neuropathic pain in breast cancer survivors: a critical review
54,Paulo Felipe Ribeiro Bandeira,,Autism,,,Stigma and knowledge about autism in Brazil: A psychometric and intervention study
55,Clarice Maria de Lucena Martins,,International Journal of Behavioral Nutrition and Physical Activity,,,Prevalence and sociodemographic correlates of physical activity and sitting time among South American adolescents: a harmonized analysis of nationally representative cross-sectional surveys
56,Clarice Maria de Lucena Martins,,Journal of Sport and Health Science,,,"Global prevalence and gender inequalities in at least 60 min of self-reported moderate-to-vigorous physical activity 1 or more days per week: An analysis with 707,616 adolescents"
57,Clarice Maria de Lucena Martins,,INTERNATIONAL JOURNAL OF SPORT NUTRITION AND EXERCISE METABOLISM,,,"Higher Physical Activity Is Related to Lower Neck Adiposity in Young Men, but to Higher Neck Adiposity in Young Women"
59,Saulo Fernandes Melo de Oliveira,,REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (ONLINE),,,Estado de humor e percepcao da qualidade de vida de jogadores de bocha paralimpica durante a Pandemia da COVID-19
60,Saulo Fernandes Melo de Oliveira,,REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (ONLINE),,,Mood States and Quality of Life in Paralympic Boccia Athetes in the COVID-19 Pandemic
63,Saulo Fernandes Melo de Oliveira,,Cuadernos de Psicología del Deporte,,,Bocha paralimpica en brasil: uso de estrategias de afrontamiento en el deporte durante la pandemia de Covid-19
64,Pedro Pinheiro Paes Neto,,Retos-Nuevas Tendencias En Educacion Fisica Deporte Y Recreacion,,,Can home-based training influence mood states and quality of life in Paralympic boccia athletes?
66,Saulo Fernandes Melo de Oliveira,,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,2247806X,Comparison between q angle measurements and their relationship with knee health in women practicing and not practicing futsal
69,Melissa Leandro Celestino,,JOURNAL OF MOTOR BEHAVIOR,,,Compensatory Strategies Due to Knee Flexion Constraint during Gait of Non-Disabled Adults
70,Melissa Leandro Celestino,,BMC Biomedical Engineering,,,Identification of stiff-knee gait in stroke survivors
71,Saulo Fernandes Melo de Oliveira,,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,2247806X,Effect of lower limb fatigue and performance prediction in CrossFit®
77,Melissa Leandro Celestino,,Brazilian Journal of Motor Behavior,,,Use of force plates to investigate human motor performance
78,Melissa Leandro Celestino,,MEDICAL ENGINEERING & PHYSICS,,,Gait alterations induced by unloaded body weight in individuals with stroke while walking on moveable and fixed surfaces
79,Melissa Leandro Celestino,,Brazilian Journal of Motor Behavior,,,INFOGRAPHIC: exploring gait coordination using the vector coding technique
81,Paulo Roberto Cavalcanti Carvalho,,REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (ONLINE),,,Treinamento de forca e resistencia em citocinas e composicao corporal de pessoas com HIV/AIDS
84,Rafael dos Santos Henrique,,,,,Age-related differences in angle-specific change-of-direction performance in basketball: a network analysisAltersabhangige Unterschiede bei der Leistung in Bezug auf die winkelspezifische Richtungsanderung im Basketball: eine Netzwerkanalyse
85,Rafael dos Santos Henrique,,,,,Is curve sprint performance in soccer related to other speed and power abilities across age categories?
88,Clarice Maria de Lucena Martins,,Frontiers in Pediatrics,,,"Physical fitness plays a crucial mediator role in the relationship among personal, social, and lifestyle factors and children?s cognitive performance in a structural equation model"
90,Paulo Felipe Ribeiro Bandeira,,ONLINE),,,Psychometric Evidence of the Coping Inventory for Brazilian Paralympic Athletes in Competition Situations
91,Paulo Felipe Ribeiro Bandeira,,International Journal of Disability Development and Education,,,Construction and Content Validity Evidences of Coping Inventory for Brazilian Paralympic Athletes in Competition Situations
93,Paulo Felipe Ribeiro Bandeira,,"Revista Interfaces: Saúde, Humanas e Tecnologia",,1798-1807,PERCEIVED BARRIERS TO THE PRACTICE OF PHYSICAL ACTIVITY BY SCHOOL TEENAGERS: A NETWORK ANALYSIS
94,Clarice Maria de Lucena Martins,,,,,A Network Perspective on the Relationship Between Moderate to Vigorous Physical Activity and Fundamental Motor Skills in Early Childhood
95,Clarice Maria de Lucena Martins,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,,,Effects of a multicomponent intervention on cardiovascular risk factors in overweight children: a randomized clinical trial in light of complex systems
96,Clarice Maria de Lucena Martins,,Applied Neuropsychology-Child,,,"Biological, behavioral, and social correlates of executive function in low-income preschoolers: Insights from the perspective of the networks"
97,Paulo Felipe Ribeiro Bandeira,,CHILD NEUROPSYCHOLOGY,,,Are there associations between sedentary time inside and outside preschools with preschoolers? executive function?
98,Paulo Felipe Ribeiro Bandeira,,Obesities,,,"Physical Activity, Sedentary Behaviour and Cardiovascular Risk Factors in Overweight Low-Income Schoolchildren: A Complex System Perspective"
99,Paulo Felipe Ribeiro Bandeira,,APPLIED NEUROPSYCHOLOGY: CHILD,,,"Biological, behavioral, and social correlates of executive function in low-income preschoolers: Insights from the perspective of the networks"
100,Paulo Felipe Ribeiro Bandeira,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,,,Effects of a multicomponent intervention on cardiovascular risk factors in overweight children: a randomized clinical trial in light of complex systems
101,Paulo Felipe Ribeiro Bandeira,,Journal of Physical Activity & Health,,,A Network Perspective on the Relationship Between Moderate to Vigorous Physical Activity and Fundamental Motor Skills in Early Childhood
104,Clarice Maria de Lucena Martins,,Current Aging Science,,,"Behavioral, Sociodemographic, and Sleep Correlates of Symptoms ofDepression amongst Older Brazilian Females According to Age: A Cross-Sectional Network Analysis"
105,Paulo Felipe Ribeiro Bandeira,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,,,"WEB OF TRANSFORMATIONS: impact of multicomponent intervention on the relationship between sociodemographic indicators, changes in body composition, cardiorespiratory fitness and biochemical markers in adolescents with overweight and obesity"
107,Tony Meireles dos Santos,,PHYSIOLOGY & BEHAVIOR,,,Carbohydrate mouth rinse improves performance of mentally fatigued cyclists despite null effects on psychological responses
108,Saulo Fernandes Melo de Oliveira,,Muscles,,,Muscle Activation During the Squat Performed in Different Ranges of Motion by Women
109,Paulo Felipe Ribeiro Bandeira,,Revista de Extensão da Urca,,,CLIMA DE MOTIVACAO PARA MAESTRIA EM UMA INTERVENCAO MOTORA PRE-ESCOLAR: UM RELATO DE EXPERIENCIA SOBRE AS IMPLICACOES DESSA ABORDAGEM METODOLOGICA
110,Eduardo Zapaterra Campos,,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,2247806X,Evaluation of the effects of acute taurine supplementation on aerobic physical performance in active young adults
111,Pedro Pinheiro Paes Neto,,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,2247806X,Evaluation of the effects of acute taurine supplementation on aerobic physical performance in active young adults
