excel_row,docente,tipo_producao,ano,revista_ou_veiculo,titulo,doi
14,Ozeas de Lima Lins Filho,artigo,2023,SLEEP MEDICINE,"Effect of high-intensity interval training on obstructive sleep apnea severity: a randomized controlled trial. SLEEP MEDICINE, v. 112, p. 316-321, 2023",10.1016/j.sleep.2026.108879
16,Ozeas de Lima Lins Filho,artigo,2024,SLEEP MEDICINE,"Effects of high-intensity interval training on subjective sleep quality and daytime sleepiness in patients with obstructive sleep apnea: A secondary analysis from randomized controlled trial.. SLEEP MEDICINE, v. 121, p. 184-188, 2024",10.1016/j.sleep.2026.108879
17,Ozeas de Lima Lins Filho,artigo,2021,SLEEP MEDICINE,"Effect of exercise training on body composition in patients with obstructive sleep apnea: A systematic review and meta-analysis. SLEEP MEDICINE, v. 87, p. 105-113, 2021",10.1016/j.sleep.2026.108879
46,Tony Meireles dos Santos,capitulo,2026,,Anastácio WL ; Bruno V,
47,Tony Meireles dos Santos,capitulo,2026,,Anastácio WL ; Bruno V,
50,Tony Meireles dos Santos,capitulo,2026,,"Anastácio WL ; MEIRELES SANTOS, TONY",
51,Tony Meireles dos Santos,capitulo,2026,,"Anastácio WL ; MEIRELES SANTOS, TONY",
89,Paulo Roberto Cavalcanti Carvalho,artigo,2025,REVISTA FISIO&TERAPIA,"Associação dos comportamentos de riscos à saúde e o reganho de peso corporal pós-cirurgia Bariátrica em tempos de pandemia: Estudo de coorte. REVISTA FISIO&TERAPIA, v. 29, p. 1, 2025",10.69849/revistaft/dt10202504282217
105,Paulo Roberto Cavalcanti Carvalho,artigo,2024,REVISTA FISIO&TERAPIA,"The influence of neoadjuvant chemotherapy on weicht gain in women survivors from breast cancer. REVISTA FISIO&TERAPIA, v. 28, p. 01 e 20, 2024",10.69849/revistaft/dt10202504282217
115,Pedro Pinheiro Paes Neto,capitulo,2025,Ejercicio salud y sociedad: una mirada mutidisciplinar,"CAMAROTTI JUNIOR, F",
