id,docente,tipo_producao,ano,revista_ou_veiculo,titulo,doi,indexacao,pontuacao
2,Andre Dos Santos Costa,artigo,2025,,"Associação entre os níveis de atividade física e ansiedade, estresse e depressão em pacientes com transtorno obsessivo compulsivo",10.18554/acbiobras.v8i2.8756,,
5,Andre Luiz Torres Piraua,artigo,2025,INTERNATIONAL JOURNAL OF SPORTS MEDICINE,Effects of Instability Resistance Training on Physical and Cognitive Function in Adults,10.1055/a-2674-4030,Web of Science (JCR); Scopus (SJR),90
6,Andre Luiz Torres Piraua,artigo,2026,GERIATRIC NURSING,Barriers and facilitators reported by older adults and Physical Education professionals participating in a home-based physical exercise program with different remote supervision strategies: a qualitative analysis of a randomized controlled trial,10.1016/j.gerinurse.2026.103876,Web of Science (JCR); Scopus (SJR),90
7,Breno Quintella Farah,artigo,2025,Sao Paulo Medical Journal,Rating of perceived exertion versus heart rate for isometric exercise prescription? Reliability and agreement study,10.1590/1516-3180.2024.0092.R1.29072024,Web of Science (JCR); Scopus (SJR),90
8,Breno Quintella Farah,artigo,2025,EINSTEIN (SÃO PAULO),Association between calf circumference and cardiovascular health indicators in patients with peripheral artery disease,10.31744/einstein_journal/2025ao1089,Scopus (SJR),90
9,Breno Quintella Farah,artigo,2025,EINSTEIN (SÃO PAULO),Mortality rate in patients with symptomatic peripheral artery disease in Brazil: comparison between sexes,10.31744/einstein_journal/2025ao1611,Scopus (SJR),90
10,Breno Quintella Farah,artigo,2025,Physical Therapy Reviews,Self-reported assessment of walking impairment and physical activity in patients with peripheral artery disease: a narrative review,10.1080/10833196.2025.2556504,Web of Science (JCR); Scopus (SJR),90
11,Breno Quintella Farah,artigo,2025,GERIATRIC NURSING,"Validity, reliability and agreement of the two-minute step test in Parkinson`s disease",10.1016/j.gerinurse.2025.103661,Web of Science (JCR); Scopus (SJR),90
12,Breno Quintella Farah,artigo,2025,Journal of Cardiopulmonary Rehabilitation and Prevention,Comparison of Cardiovascular and Perceptual Responses During Guideline-Recommended and Self-Selected Intensity Exercises in Patients With Peripheral Artery Disease,10.1097/hcr.0000000000000966,Web of Science (JCR); Scopus (SJR),90
13,Breno Quintella Farah,artigo,2025,ANNALS OF VASCULAR SURGERY,Association between the Self-Reported like Engaging in Physical Activity and the Physical Activity Level in Patients with Peripheral Artery Disease,10.1016/j.avsg.2025.02.030,Web of Science (JCR); Scopus (SJR),90
14,Breno Quintella Farah,artigo,2025,AMERICAN JOURNAL OF PHYSICAL MEDICINE AND REHABILITATION,Dropouts in Exercise Rehabilitation Program in Patients With Long COVID,10.1097/phm.0000000000002719,Web of Science (JCR); Scopus (SJR),90
15,Breno Quintella Farah,artigo,2025,SLEEP SCIENCE (IMPRESSO),Effect of Physical Exercise on Sleep Quality and Depressive Symptoms in Adults: A Systematic Review and Meta-Analysis,10.1055/s-0045-1806954,Web of Science (JCR); Scopus (SJR),90
16,Breno Quintella Farah,artigo,2025,Motriz,Acute and chronic effect of dynamic and isometric resistance exercise on blood pressure: a review with meta-analysis,10.5016/s1980-6574e10248467,Scopus (SJR),90
17,Breno Quintella Farah,artigo,2026,Journal of Cardiopulmonary Rehabilitation and Prevention,Acute Responses to Arm-Crank Exercise on the Cardiovascular Function of Patients With Peripheral Artery Disease: A RANDOMIZED CROSSOVER TRIAL,10.1097/HCR.0000000000001018,Web of Science (JCR); Scopus (SJR),90
18,Breno Quintella Farah,artigo,2026,EINSTEIN (SÃO PAULO),Factors associated with sleep quality and duration in mothers of children with autism spectrum disorder: a cross-sectional study,10.31744/einstein_journal/2026AO2004,Scopus (SJR),90
19,Breno Quintella Farah,artigo,2026,SLEEP MEDICINE,Effects of resistance training on obstructive sleep apnea severity: a randomized controlled trial,10.1016/j.sleep.2026.108879,Web of Science (JCR); Scopus (SJR),90
20,Breno Quintella Farah,artigo,2026,INTERNATIONAL JOURNAL OF SPORTS MEDICINE,Effect of Resistance Exercise on Ambulatory Blood Pressure: Systematic Review and Meta- Analysis,10.1055/a-2688-5151,Web of Science (JCR); Scopus (SJR),90
21,Breno Quintella Farah,artigo,2025,Journal of Human Hypertension,"Effects of acute exercise performed at different times of day on respiratory, blood pressure, and cardiac autonomic modulation outcomes in patients with obstructive sleep apnea: a randomized crossover trial",10.1038/s41371-025-01080-y,Web of Science (JCR); Scopus (SJR),90
22,Breno Quintella Farah,artigo,2026,JOURNAL OF VASCULAR NURSING,Light physical activity and sedentary time are associated with multiple comorbid conditions in patients with peripheral artery disease,10.1016/j.jvn.2025.09.002,Web of Science (JCR); Scopus (SJR),90
23,Carla Meneses Hardman,artigo,2025,CUADERNOS DE EDUCACIÓN Y DESARROLLO,Comportamentos de Movimento de 24 horas em Crianças e Adolescentes: Protocolo de Revisão de Escopo,10.55905/cuadv17n4-164,,
24,Carla Meneses Hardman,artigo,2025,REVISTA FISIO&TERAPIA,Intervenção comunitária baseada em exercícios físicos e autocuidado na qualidade do sono em idosos: ensaio randomizado,10.69849/revistaft/dt10202504282217,,
25,Carla Meneses Hardman,artigo,2025,JOURNAL OF PHYSICAL EDUCATION AND SPORT,"Latent class analysis of physical activity, screen time and sleep: Association with obesity in youth",,Scopus (SJR),90
26,Carla Meneses Hardman,artigo,2025,Motriz,"Does meeting recommendations for physical activity, screen time, and sleep increase the chance of better health perception in adolescents?",10.5016/s1980-6574e10229089,Scopus (SJR),90
27,Carla Meneses Hardman,artigo,2025,RETOS,"Associação entre atividade física, tempo de ecrã e recomendações de sono com excesso de peso em adolescentes",10.47197/retos.v72.113173,Web of Science (JCR); Scopus (SJR),90
28,Carla Meneses Hardman,artigo,2025,CUADERNOS DE EDUCACIÓN Y DESARROLLO,Relação dos indicadores de atividade física com o estresse ocupacional e a Síndrome de Burnout em policiais: um protocolo de revisão sistemática,10.55905/cuadv17n8-066,,
29,Carla Meneses Hardman,artigo,2025,CUADERNOS DE EDUCACIÓN Y DESARROLLO,Associação entre o nível de atividade física e os domínios da síndrome de burnout em servidores da Polícia Federal do Brasil,10.55905/cuadv17n8-068,,
30,Carla Meneses Hardman,artigo,2025,CUADERNOS DE EDUCACIÓN Y DESARROLLO,Relação longitudinal da atividade física e do comportamento sedentário com a ansiedade e o estresse psicológico em adolescentes durante a pandemia de COVID-19,10.55905/cuadv17n8-084,,
31,Carla Meneses Hardman,artigo,2025,CUADERNOS DE EDUCACIÓN Y DESARROLLO,Relação dos indicadores de atividade física e comportamento sedentário com as dimensões do isolamento social em adolescentes,10.55905/cuadv17n8-080,,
32,Carla Meneses Hardman,artigo,2025,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,The importance of the moderate-to-vigorous physical activity and sedentary behavior combined pattern on the association between body mass index and motor competence in children,10.12820/rbafs.30e0411,Scopus (SJR),90
33,Daniel Da Rocha Queiroz,artigo,2025,RETOS,"Physical growth, school environment, and birth information in the physical activity of children: a multilevel analysisCrecimiento físico, entorno escolar e información del nacimiento en la actividad física de los niños: un análisis multinivelCrescimento físico, ambiente escolar e informação sobre a atividade física infantil à nascença: uma análise multinível",10.47197/retos.v68.109408,Web of Science (JCR); Scopus (SJR),90
34,Daniel Da Rocha Queiroz,artigo,2025,JOURNAL OF PHYSICAL EDUCATION AND SPORT,"Latent class analysis between physical activity, screen time and sleep: Association with obesity in youth",10.7752/jpes.2025.04096,Scopus (SJR),90
36,Daniel Da Rocha Queiroz,artigo,2025,Motriz,"Does meeting recommendations for physical activity, screen time, and sleep increase the chance of better health perception in adolescents?",10.5016/s1980-6574e10229089,Scopus (SJR),90
38,Daniel Da Rocha Queiroz,artigo,2025,CUADERNOS DE EDUCACIÓN Y DESARROLLO,Relação dos indicadores de atividade física com o estresse ocupacional e a Síndrome de Burnout em policiais: um protocolo de revisão sistemática,10.55905/cuadv17n8-066,,
39,Daniel Da Rocha Queiroz,artigo,2025,CUADERNOS DE EDUCACIÓN Y DESARROLLO,Associação entre o nível de atividade física e os domínios da síndrome de burnout em servidores da Polícia Federal do Brasil,10.55905/cuadv17n8-068,,
40,Daniel Da Rocha Queiroz,artigo,2025,CUADERNOS DE EDUCACIÓN Y DESARROLLO,Relação longitudinal da atividade física e do comportamento sedentário com a ansiedade e o estresse psicológico em adolescentes durante a pandemia de COVID-19,10.55905/cuadv17n8-084,,
41,Daniel Da Rocha Queiroz,artigo,2025,CUADERNOS DE EDUCACIÓN Y DESARROLLO,Relação dos indicadores de atividade física e comportamento sedentário com as dimensões do isolamento social em adolescentes,10.55905/cuadv17n8-080,,
43,Daniel Da Rocha Queiroz,artigo,2026,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,Can Motor Competence be a Better Predictor than Physical Activity on Adiposity Indicators in Children? A Longitudinal Study,10.12820/rbafs.31e0423,Scopus (SJR),90
46,Eduardo Zapaterra Campos,artigo,2025,RETOS,Validade e fiabilidade de dois testes submáximos para estimar o consumo máximo de oxigénio em adultos,10.47197/retos.v69.108833,Web of Science (JCR); Scopus (SJR),90
48,Fabiano De Souza Fonseca,artigo,2025,"BMC SPORTS SCIENCE, MEDICINE AND REHABILITATION","Effect of caffeine on attack decision- making in trained beach volleyball players following prolonged cognitive effort induced by social media use: a randomized, single-blind, crossover pilot study",10.1186/s13102-024-01052-8,Web of Science (JCR); Scopus (SJR),90
49,Fabiano De Souza Fonseca,artigo,2025,RETOS,Influence of sports specificity on motor coordination in brazilian children,10.47197/retos.v63.109562,Web of Science (JCR); Scopus (SJR),90
