Carimbo de data/hora,Nome do docente,Anos de vigência da captação [2021],Anos de vigência da captação [2022],Anos de vigência da captação [2023],Anos de vigência da captação [2024],Anos de vigência da captação [2025],Anos de vigência da captação [2026],Anos de vigência da captação [2027],Anos de vigência da captação [2028],Anos de vigência da captação [2029],Anos de vigência da captação [2030],Anos de vigência da captação [2031],"Título do projeto, auxílio, bolsa ou captação",Tipo de captação,Situação da captação,Agência ou fonte de fomento,Nome do edital ou chamada,Número do edital ou chamada,Ano do edital,Valor total aprovado,Valor aprovado para capital,Valor aprovado para consumo/custeio,Valor aprovado para bolsas,"Caso a captação envolva bolsa, informe a destinação",Quantidade de bolsas,Duração total das bolsas em meses,Valor total destinado às bolsas,Número de alunos de mestrado vinculados,Número de alunos de doutorado vinculados
13/06/2026 12:23:38,André dos Santos Costa,,Sim,Sim,,,,,,,,,Pense e Brinque App,"Projeto de extensão, Projeto de inovação/tecnologia, Bolsa, Auxílio individual",Concluída,FACEPE,PET segunda rodada 2022,22,2022,"R$ 24.600,00","R$ 0,00","R$ 0,00","R$ 24.600,00",Outra,11,3,24600.00,3,1
13/06/2026 12:33:38,André dos Santos Costa,,,,,Sim,Sim,,,,,,Efeitos da Pré-exaustão Versus Treinamento de Resistência Tradicional na hipertrofia de quadríceps em mulheres,"Projeto de pesquisa, Bolsa",Em execução,FACEPE,Edital FACEPE Programa Institucional de bolsas de Iniciação Científica,n. 01 ,2025,"R$ 9.600,00","R$ 0,00","R$ 0,00","R$ 9.600,00",Iniciação científica,1,12,9600.00,1,0
13/06/2026 13:04:42,André dos Santos Costa,,,,,Sim,,,,,,,EFEITO DA SUPLEMENTAÇÃO DE NITRATO DE SÓDIO NAS FUNÇÕES EXECUTIVAS DURANTE ESTIMULOS COGNITIVOS E EXERCÍCIO INTERMITENTE DE ALTA INTENSIDADE: Um Ensaio Clínico Crossover Randomizado Duplo-cego.,"Projeto de pesquisa, Bolsa",Em execução,FACEPE,Programa Institucional de BIC,01,2025,"R$ 9.600,00","R$ 0,00","R$ 0,00","R$ 9.600,00",Iniciação científica,1,12,9600.00,0,0
13/06/2026 13:07:19,André dos Santos Costa,,,,Sim,,,,,,,,EFEITO DA SUPLEMENTAÇÃO DE NITRATO DE SÓDIO NAS FUNÇÕES EXECUTIVAS DURANTE ESTIMULOS COGNITIVOS E EXERCÍCIO INTERMITENTE DE ALTA INTENSIDADE: Um Ensaio Clínico Crossover Randomizado Duplo-cego.,Bolsa,Concluída,FACEPE,Programa Institucional de BIC ,03,2024,"R$ 9.600,00","R$ 0,00","R$ 0,00","R$ 9.600,00",Iniciação científica,1,12,9600.00,1,0
13/06/2026 13:10:09,André dos Santos Costa,,,,Sim,,,,,,,,PENSE & BRINQUE APP: avaliação da usabilidade e eficácia para o desenvolvimento defunções cognitivas em crianças e adolescentes.,Bolsa,Concluída,FACEPE,Programa Institucional de BIC,03,2024,"R$ 9.600,00","R$ 0,00","R$ 0,00","R$ 9.600,00",Iniciação científica,1,12,9600.00,1,0
13/06/2026 13:14:44,André dos Santos Costa,,,Sim,Sim,,,,,,,,PENSE & BRINQUE APP: avaliação da usabilidade e eficácia para o desenvolvimento de funções cognitivas em crianças e adolescentes.,Bolsa,Concluída,FACEPE,Programa Institucional de BIC,01,2023,"R$ 6.000,00","R$ 0,00","R$ 0,00","R$ 6.000,00",Iniciação científica,1,12,6000.00,1,0
13/06/2026 13:17:47,André dos Santos Costa,,,Sim,Sim,,,,,,,,"Consumo de nitrato, risco nutricional, força muscular e cognição em pacientes oncológicos em tratamento quimioterápico: um estudo de coorte prospectivo.",Bolsa,Concluída,FACEPE,Programa Institucional de BIC,01,2023,"R$ 6.000,00","R$ 0,00","R$ 0,00","R$ 6.000,00",Iniciação científica,1,12,6000.00,2,0
13/06/2026 13:20:15,André dos Santos Costa,,Sim,Sim,,,,,,,,,"Consumo de nitrato, risco nutricional, força muscular e cognição em pacientes oncológicos em tratamento quimioterápico: um estudo de coorte prospectivo.",Bolsa,Concluída,FACEPE,Programa Institucional de BIC,05,2022,"R$ 6.000,00","R$ 0,00","R$ 0,00","R$ 6.000,00",Iniciação científica,1,12,6000.00,2,0
13/06/2026 13:34:03,André dos Santos Costa,,,Sim,Sim,,,,,,,,Estímulo à Inovação no âmbito das práticas de ensino na Graduação,Projeto de inovação/tecnologia,Concluída,Outra,PROGRAD - Estímulo à inovação no âmbito das práticas de ensino na graduação,18,2023,"R$ 11.270,44","R$ 10.777,44","R$ 493,00","R$ 0,00",Não se aplica,0,0,0,0,0
11/06/2026 22:06:49,Bruno Teixeira Barbosa,,,,Sim,,,,,,,,Efeitos da privação parcial do sono no desempenho percepto-cognitivo ao longo do dia de profissionais de saúde do Hospital das Clínicas/UFPE,Projeto de pesquisa,Em execução,FACEPE,APQ Universal,Edital n. 18/2024,2024,"R$ 74.212,00","R$ 55.780,00","R$ 10.032,00","R$ 8.400,00",Apoio técnico,1,8,8.000,1,0
