id,docente,autores,autor_principal,ano,titulo,tipo_producao,revista_ou_veiculo,editora,cidade,isbn_issn,doi,url,indexacao,jif_jcr_2025,quartil_jcr_2025,pontuacao,observacoes,produto_referencia,source_row
1,André dos Santos Costa,"MATIAS, G. H. L; COSTA, A. S; LIMA, V. F; FONSECA, R. M. C","MATIAS, G. H. L",2021,Efeito de 12 Semanas do Futebol Recreativo nas Funções Executivas e na Funcionalidade em Idosos,artigo,"Revista Brasileira de Educação Física e Esporte, v",,,,,,Google acadêmico,,,0,origem=rebuild_excel_staging | match_prior=none | indexacao_periodicos_csv=sincronizado,"MATIAS, G. H. L. ; COSTA, A. S. ; LIMA, V. F. ; FONSECA, R. M. C. . Efeito de 12 Semanas do Futebol Recreativo nas Funções Executivas e na Funcionalidade em Idosos.. Revista Brasileira de Educação Física e Esporte, v. 35, p. 155-162, 2021.",332
2,André dos Santos Costa,"DA SILVA, RAYSSA LAÍS FERREIRA; DA SILVA, REYANNE MARIA; COSTA, ANDRÉ DOS SANTOS","DA SILVA, RAYSSA LAÍS FERREIRA",2021,Efeitos da atividade física e Índice de Massa Corporal sob o ciclo menstrual em adolescentes: uma revisão da literatura,artigo,"PRAXIA - REVISTA ON LINE DE EDUCAÇÃO FÍSICA DA UEG, v",,,,,,Google acadêmico,,,0,origem=rebuild_excel_staging | match_prior=none | indexacao_periodicos_csv=sincronizado,"DA SILVA, RAYSSA LAÍS FERREIRA ; DA SILVA, REYANNE MARIA ; COSTA, ANDRÉ DOS SANTOS . Efeitos da atividade física e Índice de Massa Corporal sob o ciclo menstrual em adolescentes: uma revisão da literatura. PRAXIA - REVISTA ON LINE DE EDUCAÇÃO FÍSICA DA UEG, v. 3, p. e2021009, 2021.",153
3,André dos Santos Costa,"MATIAS, G. H. L; COSTA, A. S; FONSECA, R. M. C","MATIAS, G. H. L",2021,Effect of 12 weeks of recreational soccer on bone mineral density and sarcopenia in the elderly: a randomized clinical trial Changes the Mineral,artigo,"JOURNAL OF PHYSICAL EDUCATION (ONLINE), v",,,24482455,10.4025/jphyseduc.v36i1.3607,,Scopus (SJR),0.53,Q4,90,origem=rebuild_excel_staging | match_prior=title_docente | indexacao_periodicos_csv=sincronizado,"MATIAS, G. H. L. ; COSTA, A. S. ; FONSECA, R. M. C. . Effect of 12 weeks of recreational soccer on bone mineral density and sarcopenia in the elderly: a randomized clinical trial Changes the Mineral. JOURNAL OF PHYSICAL EDUCATION (ONLINE), v. 32, p. e3257, 2021. Citações:2",331
4,André dos Santos Costa,"SANTOS, L. E. R; COSTA, A. S; COSTA, E. C; DAMASCENO, V. O; CHEN, Z; OLIVEIRA, I. A; SILVA, K. K. D; PIRES, F. O; SANTOS, T. M","SANTOS, L. E. R",2021,Effects of Self-Selected Passive Recovery Time in Interval Exercise on Perceptual and Heart Rate Responses in Older Women: A Promissory Approach,artigo,"JOURNAL OF AGING AND PHYSICAL ACTIVITY, v",,,,,,Scopus (SJR),2.02,Q2,90,origem=rebuild_excel_staging | match_prior=none | indexacao_periodicos_csv=sincronizado,"SANTOS, L. E. R. ; COSTA, A. S. ; COSTA, E. C. ; DAMASCENO, V. O. ; CHEN, Z. ; OLIVEIRA, I. A. ; SILVA, K. K. D. ; PIRES, F. O. ; SANTOS, T. M. . Effects of Self-Selected Passive Recovery Time in Interval Exercise on Perceptual and Heart Rate Responses in Older Women: A Promissory Approach. JOURNAL OF AGING AND PHYSICAL ACTIVITY, v. 1, p. 1-11, 2021. Citações:2",455
5,André dos Santos Costa,"do Nascimento, Higor Vinicius Alves; COSTA, ANDRÉ DOS SANTOS; Maia, Maria de Mascena Diniz; da Silva, Paulo Daywson Lopes; Prazeres, Luiz Paulo de Souza; de Souza, Paulo Roberto Eleutério","do Nascimento, Higor Vinicius Alves",2021,ESTUDO DE POLIMORFISMOS NO GENE RECEPTOR DA VITAMINA D EM PACIENTES COM A DOENÇA DE ALZHEIMER,capitulo,ESTUDO DE POLIMORFISMOS NO GENE RECEPTOR DA VITAMINA D EM PACIENTES COM A DOENÇA DE ALZHEIMER,Brazilian Journals Editora,,,,,,,,45,origem=rebuild_excel_staging | match_prior=title_docente,"do Nascimento, Higor Vinicius Alves ; COSTA, ANDRÉ DOS SANTOS ; Maia, Maria de Mascena Diniz ; da Silva, Paulo Daywson Lopes ; Prazeres, Luiz Paulo de Souza ; de Souza, Paulo Roberto Eleutério . ESTUDO DE POLIMORFISMOS NO GENE RECEPTOR DA VITAMINA D EM PACIENTES COM A DOENÇA DE ALZHEIMER. In: Edilson Antonio Catapan. (Org.). ESTUDO DE POLIMORFISMOS NO GENE RECEPTOR DA VITAMINA D EM PACIENTES COM A DOENÇA DE ALZHEIMER. 12ed.: Brazilian Journals Editora, 2021, v. 1, p. 10-19.",195
6,André dos Santos Costa,"SILVA, J. C. L; SANTANA, M. L. C; CAMPOS, S. E. D; COSTA, A. S; FRANCELINO, J. O","SILVA, J. C. L",2021,Licopeno e marcadores metabólicos: uma revisão narrativa,artigo,"REVISTA BRASILEIRA DE OBESIDADE, NUTRIÇÃO E EMAGRECIMENTO, v",,,1373-1385,,,Google acadêmico,,,0,origem=rebuild_excel_staging | match_prior=none | indexacao_periodicos_csv=sincronizado,"SILVA, J. C. L. ; SANTANA, M. L. C. ; CAMPOS, S. E. D. ; COSTA, A. S. ; FRANCELINO, J. O. . Licopeno e marcadores metabólicos: uma revisão narrativa. REVISTA BRASILEIRA DE OBESIDADE, NUTRIÇÃO E EMAGRECIMENTO, v. 15, p. 1373-1385, 2021.",486
7,André dos Santos Costa,"DAMASCENO, V. O; COSTA, A. S; GONCALVES, R; CAMPOS, E. Z; SANTOS, T. M","DAMASCENO, V. O",2022,Criterion validity and accuracy of a heart rate monitor,artigo,"Human Movement, v",,,,,,Scopus (SJR),1.31,Q3,90,origem=rebuild_excel_staging | match_prior=none | indexacao_periodicos_csv=sincronizado,"DAMASCENO, V. O. ; COSTA, A. S. ; GONCALVES, R. ; CAMPOS, E. Z. ; SANTOS, T. M. . Criterion validity and accuracy of a heart rate monitor. Human Movement, v. 23, p. 60-68, 2022. Citações:5",162
8,André dos Santos Costa,"LIMA, C. O. M. F; LINS, N. C. M; MELO, L. M; OLIVEIRA, S. G; ARAUJO, M. L. D; COSTA, A. S","LIMA, C. O. M. F",2022,"Efeitos de duas estratégias nutricionais associadas ao treinamento de força sobre parâmetros antropométricos, composição corporal e consumo alimentar em idosas: estudo randomizado controlado",artigo,"REVISTA BRASILEIRA DE PRESCRIÇÃO E FISIOLOGIA DO EXERCÍCIO, v",,,,,,Google acadêmico,,,0,origem=rebuild_excel_staging | match_prior=none | indexacao_periodicos_csv=sincronizado,"LIMA, C. O. M. F. ; LINS, N. C. M. ; MELO, L. M. ; OLIVEIRA, S. G. ; ARAUJO, M. L. D. ; COSTA, A. S. . Efeitos de duas estratégias nutricionais associadas ao treinamento de força sobre parâmetros antropométricos, composição corporal e consumo alimentar em idosas: estudo randomizado controlado.. REVISTA BRASILEIRA DE PRESCRIÇÃO E FISIOLOGIA DO EXERCÍCIO, v. 15, p. 399-407, 2022.",278
9,André dos Santos Costa,"SILVA, J. C. L; CAMPOS, S. E. D; SANTANA, M. L. C; COSTA, A. S; FRANCELINO, J. O","SILVA, J. C. L",2022,Microbiota Intestinal e Sistema Nervoso Central: explorando o eixo cérebro e intestino,artigo,"Revista de Neurociências, v",,,,,,Google acadêmico,,,0,origem=rebuild_excel_staging | match_prior=none | indexacao_periodicos_csv=sincronizado,"SILVA, J. C. L. ; CAMPOS, S. E. D. ; SANTANA, M. L. C. ; COSTA, A. S. ; FRANCELINO, J. O. . Microbiota Intestinal e Sistema Nervoso Central: explorando o eixo cérebro e intestino. Revista de Neurociências, v. 30, p. 1-29, 2022.",483
10,André dos Santos Costa,"VILAR, L. H. S; DAMASCENO, V. O; COSTA, A. S","VILAR, L. H. S",2022,Síndrome de burnout e atividade física em adolescentes no contexto da pandemia da Covid-19,artigo,"Arquivos de Ciências da Saúde da UNIPAR, v",,,,,,Google acadêmico,,,0,origem=rebuild_excel_staging | match_prior=none | indexacao_periodicos_csv=sincronizado,"VILAR, L. H. S. ; DAMASCENO, V. O. ; COSTA, A. S. . Síndrome de burnout e atividade física em adolescentes no contexto da pandemia da Covid-19.. Arquivos de Ciências da Saúde da UNIPAR, v. 26, p. 1453-14666, 2022.",540
