docente,total,artigo,capitulo,livro,pontuacao_total
André dos Santos Costa,28,26,2,0,1080
Bruno Teixeira Barbosa,22,13,8,1,1350
Clarice Maria de Lucena Martins,32,32,0,0,2340
Daniel da Rocha Queiroz,17,17,0,0,1350
Daniela Karina da Silva Ferreira,6,5,1,0,135
Eduardo Zapaterra Campos,17,16,1,0,1395
Guilherme Assunção Ferreira,8,8,0,0,630
Leonardo Gomes de Oliveira Luz,20,17,2,1,1530
Lucas Eduardo Rodrigues dos Santos,17,14,3,0,945
Melissa Leandro Celestino,7,7,0,0,540
Ozeas de Lima Lins Filho,20,18,1,1,1215
Paulo Felipe Ribeiro Bandeira,81,72,9,0,4545
Paulo Roberto Cavalcanti Carvalho,24,21,1,2,945
Pedro Pinheiro Paes Neto,26,23,3,0,1575
Rafael dos Santos Henrique,41,39,2,0,2700
Saulo Fernandes Melo de Oliveira,41,37,4,0,2070
Tony Meireles dos Santos,38,30,6,2,2790
Vilde Gomes de Menezes,25,17,7,1,675
