id,docente,autor_principal,ano,titulo,tipo_producao,revista_ou_veiculo,editora,cidade,isbn_issn,doi,url,indexacao,jif_jcr_2025,quartil_jcr_2025,pontuacao,observacoes
1,Andre Dos Santos Costa,"TAVARES, HENRIQUE",2025,Effects of daily protein intake frequency during 8 weeks of resistance training on lean mass and strength adaptations: a randomized non-controlled clinical trial,artigo,THE JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,,,18271928,10.23736/S0022-4707.25.16698-X,,Web of Science (JCR); Scopus (SJR),,,90,
2,Andre Dos Santos Costa,"LEAO, M. M",2025,"Associação entre os níveis de atividade física e ansiedade, estresse e depressão em pacientes com transtorno obsessivo compulsivo",artigo,,,,25960016,10.18554/acbiobras.v8i2.8756,https://doi.org/10.18554/acbiobras.v8i2.8756,,,,,Revista nao identificada claramente no PDF; prefixo indica URL.
3,Andre Dos Santos Costa,"SILVA, DIEGO FRANCISCO DA",2026,Does mental fatigue influence the accuracy of paralympic boccia players?,artigo,Frontiers In Sports And Active Living,,,26249367,10.3389/fspor.2025.1724991,,Web of Science (JCR); Scopus (SJR),2.6,Q2,90,
4,Andre Dos Santos Costa,"FRADIQUE, BRUNA NOLASCO SIQUEIRA SILVA",2025,Repercussions of bariatric surgery on bone mineral density: a comparative analysis between Roux-en-Y gastric bypass and sleeve gastrectomy,artigo,Abcd-Arquivos Brasileiros De Cirurgia Digestiva-Brazilian Archives Of Digestive Surgery,,,23176326,10.1590/0102-67202025000044e1913,,Scopus (SJR),,,90,
5,Andre Luiz Torres Piraua,"CAVALCANTE, BRUNO REMÍGIO",2025,Effects of Instability Resistance Training on Physical and Cognitive Function in Adults,artigo,INTERNATIONAL JOURNAL OF SPORTS MEDICINE,,,01724622,10.1055/a-2674-4030,,Web of Science (JCR); Scopus (SJR),2.2,Q2,90,
6,Andre Luiz Torres Piraua,"DOS SANTOS, HELTON LAYON TEIXEIRA",2026,Barriers and facilitators reported by older adults and Physical Education professionals participating in a home-based physical exercise program with different remote supervision strategies: a qualitative analysis of a randomized controlled trial,artigo,GERIATRIC NURSING,,,01974572,10.1016/j.gerinurse.2026.103876,,Web of Science (JCR); Scopus (SJR),2.4,Q1,90,
7,Breno Quintella Farah,"MELO, P. H",2025,Rating of perceived exertion versus heart rate for isometric exercise prescription? Reliability and agreement study,artigo,Sao Paulo Medical Journal,,,15163180,10.1590/1516-3180.2024.0092.R1.29072024,,Web of Science (JCR); Scopus (SJR),1.6,Q2,90,
8,Breno Quintella Farah,"FERREIRA, FABIANA GONÇALVES",2025,Association between calf circumference and cardiovascular health indicators in patients with peripheral artery disease,artigo,EINSTEIN (SÃO PAULO),,,16794508,10.31744/einstein_journal/2025ao1089,,Scopus (SJR),,,90,
9,Breno Quintella Farah,"FARAH, BRENO QUINTELLA",2025,Mortality rate in patients with symptomatic peripheral artery disease in Brazil: comparison between sexes,artigo,EINSTEIN (SÃO PAULO),,,16794508,10.31744/einstein_journal/2025ao1611,,Scopus (SJR),,,90,
10,Breno Quintella Farah,"SILVA, GUSTAVO OLIVEIRA DA",2025,Self-reported assessment of walking impairment and physical activity in patients with peripheral artery disease: a narrative review,artigo,Physical Therapy Reviews,,,10833196,10.1080/10833196.2025.2556504,,Web of Science (JCR); Scopus (SJR),1.2,Q3,90,
