id,docente,autores,ano,titulo,categoria,tipo_produto,subtipo,formato,finalidade,local,cidade,total_produtos,pagina_pdf,fonte_pdf,observacoes
1,Carla Meneses Hardman,"FEITOSA, S. B.; QUEIROZ, D. R.; HARDMAN, C. M.",2025,Cheio de Sistemas de Saúde,Desenvolvimento de material didático ou instrucional,REA - Áudio,REA,Áudio,Paródia musical desenvolvida para a revisão dos Sistemas de Informação em Saúde.,,,1,17,Producoes-EDUCAÇÃO-FÍSICA-UFPE-20260610093555.pdf,"Extraído da seção ""Demais tipos de produção técnica""."
2,Carla Meneses Hardman,"LIMA, A. A.; HARDMAN, C. M.",2025,Mulheres na ciência: um Cordel para celebrar,Desenvolvimento de material didático ou instrucional,REA - Folheto de cordel,REA,Folheto de cordel,"Promover a valorização, a visibilidade e o reconhecimento das mulheres na ciência, utilizando a literatura de cordel como ferramenta de educação e divulgação científica.",,,1,17,Producoes-EDUCAÇÃO-FÍSICA-UFPE-20260610093555.pdf,"Extraído da seção ""Demais tipos de produção técnica""."
3,Carla Meneses Hardman,"LIMA, A. A.; HARDMAN, C. M.",2025,Cordel da Epidemiologia: um Convite à Jornada,Desenvolvimento de material didático ou instrucional,REA - Folheto de cordel,REA,Folheto de cordel,"Facilitar o acolhimento e a integração dos(as) discentes no início da disciplina de Epidemiologia da Atividade Física, utilizando a linguagem poética da literatura de cordel como instrumento de ensino.",,,1,17,Producoes-EDUCAÇÃO-FÍSICA-UFPE-20260610093555.pdf,"Extraído da seção ""Demais tipos de produção técnica""."
4,Carla Meneses Hardman,"SILVA, T. M.; LIMA, A. A.; SILVA, T. M.; BARROS, M. V. G.; HARDMAN, C. M.",2025,Cidade Ativa: a jornada de Ana,Desenvolvimento de material didático ou instrucional,REA - Vídeo,REA,Vídeo,"Promover a conscientização de crianças, adolescentes e suas famílias sobre os benefícios da atividade física e os riscos do comportamento sedentário, utilizando recurso audiovisual de linguagem acessível e envolvente.",,,1,17,Producoes-EDUCAÇÃO-FÍSICA-UFPE-20260610093555.pdf,"Extraído da seção ""Demais tipos de produção técnica""."
5,Carla Meneses Hardman,"LIMA, A. A.; WANDERLEY, M. K. S.; WANDERLEY JÚNIOR, R. S.; HARDMAN, C. M.",2025,Cordel: Quem se Mexe se Protege - Um Guia pra Vida Ativa,Desenvolvimento de material didático ou instrucional,REA - Folheto de cordel,REA,Folheto de cordel,,,,1,18,Producoes-EDUCAÇÃO-FÍSICA-UFPE-20260610093555.pdf,O PDF não exibe finalidade adicional no trecho extraído.
6,Carla Meneses Hardman,"LIMA, A. A.; SILVEIRA, J. M. C.; SANTOS, C. M.",2025,Guia de Atividade Física para a População Brasileira em Cordel,Desenvolvimento de material didático ou instrucional,REA - Folheto de cordel,REA,Folheto de cordel,,,,1,18,Producoes-EDUCAÇÃO-FÍSICA-UFPE-20260610093555.pdf,O PDF não exibe finalidade adicional no trecho extraído.
7,Daniel da Rocha Queiroz,"FEITOSA, S. B.; QUEIROZ, D. R.; HARDMAN, C. M.",2025,Cheio de Sistemas de Saúde,Desenvolvimento de material didático ou instrucional,REA - Áudio,REA,Áudio,Paródia musical desenvolvida para a revisão dos Sistemas de Informação em Saúde.,,,1,28,Producoes-EDUCAÇÃO-FÍSICA-UFPE-20260610093555.pdf,Finalidade inferida a partir do mesmo produto listado na seção de Carla Meneses Hardman.
8,Daniel da Rocha Queiroz,"SOUZA, P. H. B.; FEITOSA, S. B.; LIMA, J. P. P.; SALES, B. B. M. C.; GOMES, L. M.; WANDERLEY JUNIOR, R. S.; BARROS, M. V. G.; QUEIROZ, D. R.; HARDMAN, C. M.",2025,TRILHA DO MOVIMENTO: UM JOGO EDUCATIVO FUNDAMENTADO NAS RECOMENDAÇÕES DE ATIVIDADE FÍSICA PARA CRIANÇAS E JOVENS,Desenvolvimento de material didático ou instrucional,Jogo Educativo,Jogo Educativo,Jogo Educativo,Desenvolvimento de material didático ou instrucional.,,,1,28,Producoes-EDUCAÇÃO-FÍSICA-UFPE-20260610093555.pdf,"Extraído da seção ""Demais tipos de produção técnica""."
9,Daniel da Rocha Queiroz,"FEITOSA, S. B.; WANDERLEY JÚNIOR, R. S; SOUZA, A. P.; OLIVEIRA, A. R. S.; CAMAROTTI JUNIOR, F.; AGUIAR, J. L. P.; MEDEIROS, J. A.; BERNARDO, R. A. L.; SILVA, R. M.",2025,Trilha Epidemiológica,Desenvolvimento de material didático ou instrucional,Jogo Educativo,Jogo Educativo,Jogo Educativo,,,,1,28,Producoes-EDUCAÇÃO-FÍSICA-UFPE-20260610093555.pdf,O PDF não exibe finalidade adicional no trecho extraído.
10,Tony Meireles dos Santos,"SANTOS, TONY M.; HENRIQUE, S. R.; EZ CAMPOS;",2025,Parecer para o credenciamento e recredenciamento docente do PPGEF,Reunião,Reunião,Parecer técnico,Reunião,Parecer de cadastramento docente na PG.,Recife,Recife,1,56,Producoes-EDUCAÇÃO-FÍSICA-UFPE-20260610093555.pdf,"Extraído da seção ""Demais tipos de produção técnica""."
