docente,situacao,quantitativo_total,tipos,subtipos
André dos Santos Costa,Sem produção,0,,
Bruno Teixeira Barbosa,Com produção,10,Demais tipos; Entrevistas; Redes sociais,Desenvolvimento de material didático ou instrucional - Videoaula; Programa de rádio ou TV/Comentário; Programa de rádio ou TV/Entrevista; Rede social
Clarice Maria de Lucena Martins,Sem produção,0,,
Daniel da Rocha Queiroz,Com produção,5,Demais tipos; Redes sociais; Trabalhos técnicos,Desenvolvimento de material didático ou instrucional - Jogo Educativo; Desenvolvimento de material didático ou instrucional - JogoEducativo; Rede social
Daniela Karina da Silva Ferreira,Sem produção,0,,
Eduardo Zapaterra Campos,Sem produção,0,,
Guilherme Assunção Ferreira,Sem produção,0,,
Leonardo Gomes de Oliveira Luz,Com produção,1,Entrevistas,Programa de rádio ou TV/Entrevista
Lucas Eduardo Rodrigues dos Santos,Com produção,5,Assessoria e consultoria; Demais tipos,Curso de curta duração ministrado/Extensão
Melissa Leandro Celestino,Sem produção,0,,
Ozeas de Lima Lins Filho,Com produção,5,Demais tipos,Curso de curta duração ministrado/Extensão; Desenvolvimento de material didático ou instrucional - Manual; Desenvolvimento de material didático ou instrucional - Manual técnico
Paulo Felipe Ribeiro Bandeira,Sem produção,0,,
Paulo Roberto Cavalcanti Carvalho,Sem produção,0,,
Pedro Pinheiro Paes,Com produção,13,Demais tipos; Entrevistas,Curso de curta duração ministrado/Especialização; Curso de curta duração ministrado/Extensão
Saulo Fernandes Melo de Oliveira,Sem produção,0,,
Tony Meireles dos Santos,Com produção,11,Assessoria e consultoria; Demais tipos; Processos ou técnicas; Programas de computador sem registro,Desenvolvimento de material didático ou instrucional - MapadeCompetências; Reunião
Vilde Gomes de Menezes,Sem produção,0,,
